Salutation,FirstName,LastName,Address,City,State,ZipCode,PhoneNumber,Email,Classification,Major,DateOfBirth,
Miss,Alisha,Slusarski,3273 State St,Middle,NJ,8846,732-658-3154,alisha@slusarski.com,Sophomore,NULL,5/1/1998,
Miss,Allene,Iturbide,1 Central Ave,Stevens Point,WI,54481,715-662-6764,allene_iturbide@cox.net,Sophomore,NULL,1/1/1998,
Mr.,Chanel,Caudy,86 Nw 66th St #8673,Shawnee,KS,66218,913-388-2079,chanel.caudy@caudy.org,Sophomore,NULL,2/16/1998,
Mr.,Ezekiel,Chui,2 Cedar Ave #84,Easton,MD,21601,410-669-1642,ezekiel@chui.com,Sophomore,NULL,7/16/1998,
Mr.,Willow,Kusko,90991 Thorburn Ave,New York,NY,10011,212-582-4976,wkusko@yahoo.com,Sophomore,NULL,6/15/1998,
Mr.,Bernardo,Figeroa,386 9th Ave N,Conroe,TX,77301,936-336-3951,bfigeroa@aol.com,Sophomore,NULL,3/11/1997,
Miss,Ammie,Corrio,74874 Atlantic Ave,Columbus,OH,43215,614-801-9788,ammie@corrio.com,Sophomore,NULL,1/1/1998,
Mr.,Francine,Vocelka,366 South Dr,Las Cruces,NM,88011,505-977-3911,francine_vocelka@vocelka.com,Sophomore,NULL,2/14/1998,
Mr.,Ernie,Stenseth,45 E Liberty St,Ridgefield Park,NJ,7660,201-709-6245,ernie_stenseth@aol.com,Junior,NULL,3/16/1995,
Mr.,Albina,Glick,4 Ralph Ct,Dunellen,NJ,8812,732-924-7882,albina@glick.com,Sophomore,NULL,9/1/1998,
Miss,Alishia,Sergi,2742 Distribution Way,New York,NY,10025,212-860-1579,asergi@gmail.com,Freshman,NULL,11/11/1998,
Mr.,Solange,Shinko,426 Wolf St,Metairie,LA,70002,504-979-9175,solange@shinko.com,Junior,NULL,1/25/1998,
Mr.,Jose,Stockham,128 Bransten Rd,New York,NY,10011,212-675-8570,jose@yahoo.com,Senior,NULL,7/28/1999,
Miss,Rozella,Ostrosky,17 Morena Blvd,Camarillo,CA,93012,805-832-6163,rozella.ostrosky@ostrosky.com,Senior,NULL,4/5/1998,
Miss,Valentine,Gillian,775 W 17th St,San Antonio,TX,78204,210-812-9597,valentine_gillian@gmail.com,Sophomore,NULL,1/1/1998,
Miss,Kati,Rulapaugh,6980 Dorsett Rd,Abilene,KS,67410,785-463-7829,kati.rulapaugh@hotmail.com,Senior,NULL,3/11/1997,
Miss,Youlanda,Schemmer,2881 Lewis Rd,Prineville,OR,97754,541-548-8197,youlanda@aol.com,Sophomore,NULL,1/1/1998,
Mr.,Dyan,Oldroyd,7219 Woodfield Rd,Overland Park,KS,66204,913-413-4604,doldroyd@aol.com,Junior,NULL,2/14/1998,
Miss,Roxane,Campain,1048 Main St,Fairbanks,AK,99708,907-231-4722,roxane@hotmail.com,Junior,NULL,3/16/1995,
Miss,Lavera,Perin,678 3rd Ave,Miami,FL,33196,305-606-7291,lperin@perin.org,Junior,NULL,9/1/1998,
Mr.,Erick,Ferencz,20 S Babcock St,Fairbanks,AK,99712,907-741-1044,erick.ferencz@aol.com,Junior,NULL,11/11/1998,
Miss,Fatima,Saylors,2 Lighthouse Ave,Hopkins,MN,55343,952-768-2416,fsaylors@saylors.org,Senior,NULL,1/25/1998,
Miss,Jina,Briddick,38938 Park Blvd,Boston,MA,2128,617-399-5124,jina_briddick@briddick.com,Freshman,NULL,7/28/1999,
Miss,Kanisha,Waycott,5 Tomahawk Dr,Los Angeles,CA,90006,323-453-2780,kanisha_waycott@yahoo.com,Senior,NULL,4/5/1998,
Mr.,Emerson,Bowley,762 S Main St,Madison,WI,53711,608-336-7444,emerson.bowley@bowley.org,Sophomore,NULL,5/7/1998,
Miss,Blair,Malet,209 Decker Dr,Philadelphia,PA,19132,215-907-9111,bmalet@yahoo.com,Freshman,NULL,6/12/1998,
Mr.,Brock,Bolognia,4486 W O St #1,New York,NY,10003,212-402-9216,bbolognia@yahoo.com,Junior,NULL,2/11/1998,
Mrs.,Lorrie,Nestle,39 S 7th St,Tullahoma,TN,37388,931-875-6644,lnestle@hotmail.com,Freshman,NULL,1/1/1998,
Miss,Sabra,Uyetake,98839 Hawthorne Blvd #6101,Columbia,SC,29201,803-925-5213,sabra@uyetake.org,Junior,NULL,1/9/1974,
Mr.,Marjory,Mastella,71 San Mateo Ave,Wayne,PA,19087,610-814-5533,mmastella@mastella.com,Sophomore,NULL,3/3/1998,
Mr.,Karl,Klonowski,76 Brooks St #9,Flemington,NJ,8822,908-877-6135,karl_klonowski@yahoo.com,Freshman,NULL,7/19/1998,
Mr.,Tonette,Wenner,4545 Courthouse Rd,Westbury,NY,11590,516-968-6051,twenner@aol.com,Freshman,NULL,5/13/1998,
Miss,Amber,Monarrez,14288 Foster Ave #4121,Jenkintown,PA,19046,215-934-8655,amber_monarrez@monarrez.org,Junior,NULL,6/18/1998,
Miss,Shenika,Seewald,4 Otis St,Van Nuys,CA,91405,818-423-4007,shenika@gmail.com,Freshman,NULL,9/25/1998,
Miss,Delmy,Ahle,65895 S 16th St,Providence,RI,2909,401-458-2547,delmy.ahle@hotmail.com,Junior,NULL,10/31/1998,
Miss,Deeanna,Juhas,14302 Pennsylvania Ave,Huntingdon Valley,PA,19006,215-211-9589,deeanna_juhas@gmail.com,Sophomore,NULL,7/18/1998,
Miss,Blondell,Pugh,201 Hawk Ct,Providence,RI,2904,401-960-8259,bpugh@aol.com,Freshman,NULL,3/7/1998,
Mr.,Jamal,Vanausdal,53075 Sw 152nd Ter #615,Monroe Township,NJ,8831,732-234-1546,jamal@vanausdal.org,Freshman,NULL,6/19/1998,
Miss,Cecily,Hollack,59 N Groesbeck Hwy,Austin,TX,78731,512-486-3817,cecily@hollack.org,Junior,NULL,8/1/1998,
Miss,Carmelina,Lindall,2664 Lewis Rd,Littleton,CO,80126,303-724-7371,carmelina_lindall@lindall.com,Freshman,NULL,7/4/1998,
Miss,Maurine,Yglesias,59 Shady Ln #53,Milwaukee,WI,53214,414-748-1374,maurine_yglesias@yglesias.com,Junior,NULL,2/13/1998,
Mr.,Tawna,Buvens,3305 Nabell Ave #679,New York,NY,10009,212-674-9610,tawna@gmail.com,Sophomore,NULL,4/7/1998,
Mrs.,Penney,Weight,18 Fountain St,Anchorage,AK,99515,907-797-9628,penney_weight@aol.com,Freshman,NULL,1/9/1974,
Miss,Elly,Morocco,7 W 32nd St,Erie,PA,16502,814-393-5571,elly_morocco@gmail.com,Freshman,NULL,3/3/1998,
Miss,Ilene,Eroman,2853 S Central Expy,Glen Burnie,MD,21061,410-914-9018,ilene.eroman@hotmail.com,Junior,NULL,7/19/1998,
Miss,Vallie,Mondella,74 W College St,Boise,ID,83707,208-862-5339,vmondella@mondella.com,Freshman,NULL,5/13/1998,
Miss,Kallie,Blackwood,701 S Harrison Rd,San Francisco,CA,94104,415-315-2761,kallie.blackwood@gmail.com,Junior,NULL,6/18/1998,
Mr.,Johnetta,Abdallah,1088 Pinehurst St,Chapel Hill,NC,27514,919-225-9345,johnetta_abdallah@aol.com,Sophomore,NULL,9/25/1998,
Mr.,Bobbye,Rhym,30 W 80th St #1995,San Carlos,CA,94070,650-528-5783,brhym@rhym.com,Freshman,NULL,10/31/1998,
Miss,Micaela,Rhymes,20932 Hedley St,Concord,CA,94520,925-647-3298,micaela_rhymes@gmail.com,Freshman,NULL,7/18/1998,
Mr.,Tamar,Hoogland,2737 Pistorio Rd #9230,London,OH,43140,740-343-8575,tamar@hotmail.com,Junior,NULL,1/1/1998,
Miss,Moon,Parlato,74989 Brandon St,Wellsville,NY,14895,585-866-8313,moon@yahoo.com,Freshman,NULL,1/13/1998,
Miss,Laurel,Reitler,6 Kains Ave,Baltimore,MD,21215,410-520-4832,laurel_reitler@reitler.com,Junior,NULL,1/9/1974,
Miss,Delisa,Crupi,47565 W Grand Ave,Newark,NJ,7105,973-354-2040,delisa.crupi@crupi.com,Sophomore,NULL,3/3/1998,
Miss,Viva,Toelkes,4284 Dorigo Ln,Chicago,IL,60647,773-446-5569,viva.toelkes@gmail.com,Freshman,NULL,7/19/1998,
Miss,Elza,Lipke,6794 Lake Dr E,Newark,NJ,7104,973-927-3447,elza@yahoo.com,Freshman,NULL,5/13/1998,
Miss,Devorah,Chickering,31 Douglas Blvd #950,Clovis,NM,88101,505-975-8559,devorah@hotmail.com,Freshman,NULL,6/18/1998,
Mr.,Timothy,Mulqueen,44 W 4th St,Staten Island,NY,10309,718-332-6527,timothy_mulqueen@mulqueen.org,Junior,NULL,9/25/1998,
Mr.,Arlette,Honeywell,11279 Loytan St,Jacksonville,FL,32254,904-775-4480,ahoneywell@honeywell.com,Freshman,NULL,10/31/1998,
Miss,Dominque,Dickerson,69 Marquette Ave,Hayward,CA,94545,510-993-3758,dominque.dickerson@dickerson.org,Junior,NULL,7/18/1998,
Miss,Lettie,Isenhower,70 W Main St,Beachwood,OH,44122,216-657-7668,lettie_isenhower@yahoo.com,Sophomore,NULL,4/5/1998,
Miss,Myra,Munns,461 Prospect Pl #316,Euless,TX,76040,817-914-7518,mmunns@cox.net,Freshman,NULL,6/1/1998,
Miss,Stephaine,Barfield,47154 Whipple Ave Nw,Gardena,CA,90247,310-774-7643,stephaine@barfield.com,Freshman,NULL,5/13/1998,
Miss,Lai,Gato,37 Alabama Ave,Evanston,IL,60201,847-728-7286,lai.gato@gato.org,Freshman,NULL,2/19/1998,
Mr.,Stephen,Emigh,3777 E Richmond St #900,Akron,OH,44302,330-537-5358,stephen_emigh@hotmail.com,Junior,NULL,1/19/1998,
Mr.,Tyra,Shields,3 Fort Worth Ave,Philadelphia,PA,19106,215-255-1641,tshields@gmail.com,Freshman,NULL,6/13/1998,
Mr.,Tammara,Wardrip,4800 Black Horse Pike,Burlingame,CA,94010,650-803-1936,twardrip@cox.net,Freshman,NULL,1/1/1998,
Mr.,Cory,Gibes,83649 W Belmont Ave,San Gabriel,CA,91776,626-572-1096,cory.gibes@gmail.com,Sophomore,NULL,1/9/1974,
Miss,Danica,Bruschke,840 15th Ave,Waco,TX,76708,254-782-8569,danica_bruschke@gmail.com,Freshman,NULL,3/3/1998,
Miss,Wilda,Giguere,1747 Calle Amanecer #2,Anchorage,AK,99501,907-870-5536,wilda@cox.net,Junior,NULL,7/19/1998,
Miss,Elvera,Benimadho,99385 Charity St #840,San Jose,CA,95110,408-703-8505,elvera.benimadho@cox.net,Senior,NULL,5/13/1998,
Miss,Carma,Vanheusen,68556 Central Hwy,San Leandro,CA,94577,510-503-7169,carma@cox.net,Sophomore,NULL,6/18/1998,
Miss,Malinda,Hochard,55 Riverside Ave,Indianapolis,IN,46202,317-722-5066,malinda.hochard@yahoo.com,Freshman,NULL,9/25/1998,
Miss,Natalie,Fern,7140 University Ave,Rock Springs,WY,82901,307-704-8713,natalie.fern@hotmail.com,Junior,NULL,10/31/1998,
Miss,Lisha,Centini,64 5th Ave #1153,Mc Lean,VA,22102,703-235-3937,lisha@centini.org,Senior,NULL,7/18/1998,
Miss,Arlene,Klusman,3 Secor Rd,New Orleans,LA,70112,504-710-5840,arlene_klusman@gmail.com,Freshman,NULL,10/1/1998,
Miss,Alease,Buemi,4 Webbs Chapel Rd,Boulder,CO,80303,303-301-4946,alease@buemi.com,Freshman,NULL,1/18/1998,
Miss,Louisa,Cronauer,524 Louisiana Ave Nw,San Leandro,CA,94577,510-828-7047,louisa@cronauer.com,Freshman,NULL,7/14/1998,
Miss,Angella,Cetta,185 Blackstone Bldge,Honolulu,HI,96817,808-892-7943,angella.cetta@hotmail.com,Freshman,NULL,6/3/1998,
Miss,Cyndy,Goldammer,170 Wyoming Ave,Burnsville,MN,55337,952-334-9408,cgoldammer@cox.net,Junior,NULL,3/4/1998,
Miss,Rosio,Cork,4 10th St W,High Point,NC,27263,336-243-5659,rosio.cork@gmail.com,Freshman,NULL,8/1/1998,
Miss,Celeste,Korando,7 W Pinhook Rd,Lynbrook,NY,11563,516-509-2347,ckorando@hotmail.com,Freshman,NULL,12/25/1998,
Mr.,Twana,Felger,1 Commerce Way,Portland,OR,97224,503-939-3153,twana.felger@felger.org,Sophomore,NULL,11/15/1998,
Miss,Estrella,Samu,64 Lakeview Ave,Beloit,WI,53511,608-976-7199,estrella@aol.com,Freshman,NULL,4/1/1998,
Mr.,Donte,Kines,3 Aspen St,Worcester,MA,1602,508-429-8576,dkines@hotmail.com,Junior,NULL,7/19/1998,
Miss,Tiffiny,Steffensmeier,32860 Sierra Rd,Miami,FL,33133,305-385-9695,tiffiny_steffensmeier@cox.net,Senior,NULL,5/13/1998,
Miss,Edna,Miceli,555 Main St,Erie,PA,16502,814-460-2655,emiceli@miceli.org,Sophomore,NULL,6/18/1998,
Miss,Sue,Kownacki,2 Se 3rd Ave,Mesquite,TX,75149,972-666-3413,sue@aol.com,Freshman,NULL,9/25/1998,
Mr.,Jesusa,Shin,2239 Shawnee Mission Pky,Tullahoma,TN,37388,931-273-8709,jshin@shin.com,Junior,NULL,10/31/1998,
Mr.,Rolland,Francescon,2726 Charcot Ave,Paterson,NJ,7501,973-649-2922,rolland@cox.net,Senior,NULL,4/7/1998,
Miss,Pamella,Schmierer,5161 Dorsett Rd,Homestead,FL,33030,305-420-8970,pamella.schmierer@schmierer.org,Freshman,NULL,1/9/1974,
Miss,Glory,Kulzer,55892 Jacksonville Rd,Owings Mills,MD,21117,410-224-9462,gkulzer@kulzer.org,Freshman,NULL,3/3/1998,
Miss,Shawna,Palaspas,5 N Cleveland Massillon Rd,Thousand Oaks,CA,91362,805-275-3566,shawna_palaspas@palaspas.org,Freshman,NULL,7/19/1998,
Mr.,Brandon,Callaro,7 Benton Dr,Honolulu,HI,96819,808-215-6832,brandon_callaro@hotmail.com,Freshman,NULL,5/13/1998,
Miss,Scarlet,Cartan,9390 S Howell Ave,Albany,GA,31701,229-735-3378,scarlet.cartan@yahoo.com,Junior,NULL,6/18/1998,
Miss,Oretha,Menter,8 County Center Dr #647,Boston,MA,2210,617-418-5043,oretha_menter@yahoo.com,Freshman,NULL,1/1/1998,
Mr.,Ty,Smith,4646 Kaahumanu St,Hackensack,NJ,7601,201-672-1553,tsmith@aol.com,Freshman,NULL,1/1/1998,
Mr.,Xuan,Rochin,2 Monroe St,San Mateo,CA,94403,650-933-5072,xuan@gmail.com,Sophomore,NULL,1/1/1998,
Miss,Lindsey,Dilello,52777 Leaders Heights Rd,Ontario,CA,91761,909-639-9887,lindsey.dilello@hotmail.com,Freshman,NULL,3/11/1997,
Miss,Devora,Perez,72868 Blackington Ave,Oakland,CA,94606,510-955-3016,devora_perez@perez.org,Junior,NULL,1/1/1998,
Mr.,Herman,Demesa,9 Norristown Rd,Troy,NY,12180,518-497-2940,hdemesa@cox.net,Senior,NULL,2/14/1998,
Mr.,Rory,Papasergi,83 County Road 437 #8581,Clarks Summit,PA,18411,570-867-7489,rpapasergi@cox.net,Sophomore,NULL,3/16/1995,
Miss,Talia,Riopelle,1 N Harlem Ave #9,Orange,NJ,7050,973-245-2133,talia_riopelle@aol.com,Freshman,NULL,9/1/1998,
Mr.,Van,Shire,90131 J St,Pittstown,NJ,8867,908-409-2890,van.shire@shire.com,Junior,NULL,11/11/1998,
Mr.,Lucina,Lary,8597 W National Ave,Cocoa,FL,32922,321-749-4981,lucina_lary@cox.net,Senior,NULL,1/25/1998,
Mr.,Bok,Isaacs,6 Gilson St,Bronx,NY,10468,718-809-3762,bok.isaacs@aol.com,Freshman,NULL,7/28/1999,
Mr.,Rolande,Spickerman,65 W Maple Ave,Pearl City,HI,96782,808-315-3077,rolande.spickerman@spickerman.com,Freshman,NULL,4/5/1998,
Mr.,Howard,Paulas,866 34th Ave,Denver,CO,80231,303-623-4241,hpaulas@gmail.com,Freshman,NULL,2/1/1998,
Miss,Kimbery,Madarang,798 Lund Farm Way,Rockaway,NJ,7866,973-310-1634,kimbery_madarang@cox.net,Freshman,NULL,9/28/1998,
Mr.,Thurman,Manno,9387 Charcot Ave,Absecon,NJ,8201,609-524-3586,thurman.manno@yahoo.com,Junior,NULL,11/1/1998,
Miss,Becky,Mirafuentes,30553 Washington Rd,Plainfield,NJ,7062,908-877-8409,becky.mirafuentes@mirafuentes.com,Freshman,NULL,4/7/1998,
Miss,Beatriz,Corrington,481 W Lemon St,Middleboro,MA,2346,508-584-4279,beatriz@yahoo.com,Freshman,NULL,1/9/1997,
Miss,Marti,Maybury,4 Warehouse Point Rd #7,Chicago,IL,60638,773-775-4522,marti.maybury@yahoo.com,Sophomore,NULL,3/3/1998,
Mr.,Nieves,Gotter,4940 Pulaski Park Dr,Portland,OR,97202,503-527-5274,nieves_gotter@gmail.com,Freshman,NULL,7/19/1998,
Miss,Leatha,Hagele,627 Walford Ave,Dallas,TX,75227,214-339-1809,lhagele@cox.net,Junior,NULL,5/13/1998,
Miss,Valentin,Klimek,137 Pioneer Way,Chicago,IL,60604,312-303-5453,vklimek@klimek.org,Senior,NULL,6/18/1998,
Miss,Melissa,Wiklund,61 13 Stoneridge #835,Findlay,OH,45840,419-939-3613,melissa@cox.net,Sophomore,NULL,4/7/1998,
Miss,Sheridan,Zane,2409 Alabama Rd,Riverside,CA,92501,951-645-3605,sheridan.zane@zane.com,Freshman,NULL,1/9/1974,
Miss,Bulah,Padilla,8927 Vandever Ave,Waco,TX,76707,254-463-4368,bulah_padilla@hotmail.com,Junior,NULL,3/3/1998,
Miss,Audra,Kohnert,134 Lewis Rd,Nashville,TN,37211,615-406-7854,audra@kohnert.com,Senior,NULL,7/19/1998,
Mr.,Daren,Weirather,9 N College Ave #3,Milwaukee,WI,53216,414-959-2540,dweirather@aol.com,Freshman,NULL,5/13/1998,
Mr.,Fernanda,Jillson,60480 Old Us Highway 51,Preston,MD,21655,410-387-5260,fjillson@aol.com,Freshman,NULL,6/18/1998,
Mr.,Gearldine,Gellinger,4 Bloomfield Ave,Irving,TX,75061,972-934-6914,gearldine_gellinger@gellinger.com,Freshman,NULL,3/16/1998,
Miss,Chau,Kitzman,429 Tiger Ln,Beverly Hills,CA,90212,310-560-8022,chau@gmail.com,Freshman,NULL,4/5/1996,
Mr.,Theola,Frey,54169 N Main St,Massapequa,NY,11758,516-948-5768,theola_frey@frey.com,Freshman,NULL,5/10/1998
